2D Materials	2D Mater.
International Journal of Aerospace Engineering	Int. J. Aerosp. Eng.
International Journal of Aerospace Psychology	Int. J. Aerosp. Psychol.
International Journal of Agent-Oriented Software Engineering	Int. J. Agent-Oriented Software Eng.
International Journal of Agent-Oriented Software Engineering	Int. J. Agent-Oriented Software Eng.
International Journal of Agile Manufacturing	Int. J. Agile Manuf.
International Journal of Agricultural and Biological Engineering	Int. J. Agric. Biol. Eng.
International Journal of Agricultural Sustainability	Int. J. Agric. Sustainability
International Journal of Agriculture and Biology	Int. J. Agric. Biol.
International Journal of Agronomy	Int. J. Agron.
International Journal of Air and Water Pollution	Int. J. Air Water Pollut.
International Journal of Alternative Propulsion	Int. J. Altern. Propul.
International Journal of Ambient Energy	Int. J. Ambient Energy
International Journal of Analytical Chemistry	Int. J. Anal. Chem.
International Journal of Antennas and Propagation	Int. J. Antennas Propag.
International Journal of Antimicrobial Agents	Int. J. Antimicrob. Agents
International Journal of Applied Ceramic Technology	Int. J. Appl. Ceram. Technol.
International Journal of Applied Chemistry	Int. J. Appl. Chem.
International Journal of Applied Earth Observation and Geoinformation	Int. J. Appl. Earth Obs. Geoinf.
International Journal of Applied Electromagnetics and Mechanics	Int. J. Appl. Electromagn. Mech.
International Journal of Applied Glass Science	Int. J. Appl. Glass Sci.
International Journal of Applied Mathematics	Int. J. Appl. Math.
International Journal of Applied Mathematics and Computer Science	Int. J. Appl. Math. Comput. Sci.
International Journal of Applied Radiation and Isotopes	Int. J. Appl. Radiat. Isot.
International Journal of Applied Science and Technology	Int. J. Appl. Sci. Technol.
International Journal of Applied Systemic Studies	Int. J. Appl. Syst. Stud.
International Journal of Approximate Reasoning	Int. J. Approximate Reasoning
International Journal of Architectural Computing	Int. J. Archit. Comput.
International Journal of Architectural Heritage	Int. J. Archit. Heritage
International Journal of Aromatherapy	Int. J. Aromather.
International Journal of Artificial Intelligence in Education	Int. J. Artif. Intell. Educ.
International Journal of Artificial Organs	Int. J. Artif. Organs
International Journal of Astrobiology	Int. J. Astrobiol.
International Journal of Automation and Computing	Int. J. Autom. Comput.
International Journal of Automation and Control	Int. J. Autom. Control
International Journal of Automotive Technology	Int. J. Automot. Technol.
International Journal of Automotive Technology and Management	Int. J. Automot. Technol. Manage.
International Journal of Bifurcation and Chaos	Int. J. Bifurcation Chaos
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering	Int. J. Bifurcation Chaos Appl. Sci. Eng.
International Journal of Biobased Plastics	Int. J. Biobased Plast.
International Journal of BioChemiPhysics	Int. J. BioChemiPhysics
International Journal of Biochemistry	Int. J. Biochem.
International Journal of Biochemistry & Cell Biology	Int. J. Biochem. Cell Biol.
International Journal of Biochromatography	Int. J. Bio-Chromatogr.
International Journal of Bioclimatology and Biometeorology	Int. J. Bioclimatol. Biometeorol.
International Journal of Biodiversity Science & Management	Int. J. Biodivers. Sci. Manage.
International Journal of Bioinformatics Research and Applications	Int. J. Bioinf. Res. Appl.
International Journal of Biological Chemistry	Int. J. Biol. Chem.
International Journal of Biological Macromolecules	Int. J. Biol. Macromol.
International Journal of Biological Markers	Int. J. Biol. Markers
International Journal of Biology and Biotechnology	Int. J. Biol. Biotech.
International Journal of Biomaterials	Int. J. Biomater.
International Journal of Biomathematics	Int. J. Biomath.
International Journal of Bio-Medical Computing	Int. J. Bio-Med. Comput.
International Journal of Biomedical Engineering	Int. J. Biomed. Eng.
International Journal of Biomedical Engineering and Technology	Int. J. Biomed. Eng. Technol.
International Journal of Biomedical Imaging	Int. J. Biomed. Imaging
International Journal of Biomedical Sciences	Int. J. Biomed. Sci.
International Journal of Biometeorology	Int. J. Biometeorol.
International Journal of Biostatistics	Int. J. Biostat.
International Journal of Biotechnology	Int. J. Biotechnol.
International Journal of Cancer	Int. J. Cancer
International Journal of Cardiology-Heart & Vessels	Int. J. Cardiol. Heart Vessels
International Journal of Cardiology-Metabolic & Endocrine	Int. J. Cardol. Metab. Endocr.
International Journal of Cast Metals Research	Int. J. Cast Met. Res.
International Journal of Cell Biology	Int. J. Cell Biol.
International Journal of Cell Cloning	Int. J. Cell Cloning
International Journal of Cement Composites and Lightweight Concrete	Int. J. Cem. Compos. Lightweight Concr.
International Journal of Ceramic Engineering and Science	Int. J. Ceram. Eng. Sci.
International Journal of Chemical and Analytical Science	Int. J. Chem. Anal. Sci.
International Journal of Chemical Engineering	Int. J. Chem. Eng.
International Journal of Chemical Kinetics	Int. J. Chem. Kinet.
International Journal of Chemical Modeling	Int. J. Chem. Model.
International Journal of Chemical Reactor Engineering	Int. J. Chem. Reactor Eng.
International Journal of Chemical Sciences	Int. J. Chem. Sc.
International Journal of Child-Computer Interaction	Int. J. Child-Comput. Interact.
International Journal of Circuit Theory and Applications	Int. J. Circuit Theory Appl.
International Journal of Civil Engineering	Int. J. Civ. Eng.
International Journal of Climate Change Strategies and Management	Int. J. Clim. Change Strategies Manage.
International Journal of Climatology	Int. J. Climatol.
International Journal of Clinical and Experimental Medicine	Int. J. Clin. Exp. Med.
International Journal of Clinical and Experimental Pathology	Int. J. Clin. Exp. Path.
International Journal of Clinical and Laboratory Research	Int. J. Clin. Lab. Res.
International Journal of Clothing Science and Technology	Int. J. Clothing Sci. Technol.
International Journal of Coal Geology	Int. J. Coal Geol.
International Journal of Coal Preparation and Utilization	Int. J. Coal Prep. Util.
International Journal of Cognitive Computing in Engineering	Int. J. Cognit. Comput. Eng.
International Journal of COMADEM	Int. J. COMADEM
International Journal of Communication Systems	Int. J. Commun. Syst.
International Journal of Computational Fluid Dynamics	Int. J. Comput. Fluid Dyn.
International Journal of Computational Intelligence and Applications	Int. J. Comput. Intell. Appl.
International Journal of Computational Intelligence Systems	Int. J. Comput. Intell. Syst.
International Journal of Computational Materials Science and Surface Engineering	Int. J. Comput. Mater. Sci. Surf. Eng.
International Journal of Computational Methods	Int. J. Comput. Methods
International Journal of Computational Methods and Experimental Measurements	Int. J. Comput. Methods Exp. Meas.
International Journal of Computational Science and Engineering	Int. J. Comput. Sci. Eng.
International Journal of Computer Applications in Technology	Int. J. Comput. Appl. Technol.
International Journal of Computer Games Technology	Int. J. Comput. Games Technol.
International Journal of Computer Integrated Manufacturing	Int. J. Computer Integr. Manuf.
International Journal of Computer Mathematics	Int. J. Comput. Math.
International Journal of Computer Mathematics: Computer Systems Theory	Int. J. Comput. Math.: Comput. Syst. Theory
International Journal of Computer Vision	Int. J. Comput. Vision
International Journal of Computers and Applications	Int. J. Comput. Appl.
International Journal of Computers for Mathematical Learning	Int. J. Comput. Math. Learn.
International Journal of Computing Science and Mathematics	Int. J. Comput. Sci. Math.
International Journal of Concrete Structures and Materials	Int. J. Concr. Struct. Mater.
International Journal of Condensed Matter Research	Int. J. Condens. Matter Res.
International Journal of Construction Education and Research	Int. J. Construct. Educ. Res.
International Journal of Construction Management	Int. J. Construct. Manage.
International Journal of Control	Int. J. Control
"International Journal of Control, Automation and Systems"	Int. J. Control Autom. Syst.
International Journal of Corrosion	Int. J. Corros.
International Journal of Cosmetic Science	Int. J. Cosmet. Sci.
International Journal of Crashworthiness	Int. J. Crashworthiness
International Journal of Critical Infrastructure Protection	Int. J. Crit. Infrastruct. Prot.
International Journal of Critical Infrastructures	Int. J. Crit. Infrastruct.
International Journal of Crowd Science	Int. J. Crowd Sci.
International Journal of Current Chemistry	Int. J. Curr. Chem.
International Journal of Current Trends in Science and Technology	Int. J. Curr. Trends Sci. Technol.
International Journal of Dairy Technology	Int. J. Dairy Technol.
International Journal of Damage Mechanics	Int. J. Damage Mech.
International Journal of Data Mining and Bioinformatics	Int. J. Data Min. Bioinf.
International Journal of Data Warehousing and Mining	Int. J. Data Warehouse. Min.
International Journal of Dental Science and Research	Int. J. Dent. Sci. Res.
International Journal of Dentistry	Int. J. Dent.
International Journal of Design & Nature and Ecodynamics	Int. J. Des. Nat. Ecodyn.
International Journal of Design and Nature	Int. J. Des. Nat.
International Journal of Developmental Biology	Int. J. Dev. Biol.
International Journal of Developmental Neuroscience	Int. J. Dev. Neurosci.
International Journal of Developmental Science	Int. J. Dev. Sci.
International Journal of Differential Equations	Int. J. Differ. Equations
International Journal of Digital Earth	Int. J. Digital Earth
International Journal of Digital Multimedia Broadcasting	Int. J. Digital Multimedia Broadcast.
International Journal of Disaster Risk Reduction	Int. J. Disaster Risk Reduct.
International Journal of Disaster Risk Science	Int. J. Disaster Risk Sci.
International Journal of Distributed Sensor Networks	Int. J. Distrib. Sens. Netw.
International Journal of Dynamical Systems and Differential Equations	Int. J. Dyn. Syst. Differ. Equations
International Journal of Earth Sciences	Int. J. Earth Sci.
International Journal of Ecodynamics	Int. J. Ecodyn.
International Journal of Ecology	Int. J. Ecol.
International Journal of Electric and Hybrid Vehicles	Int. J. Electr. Hybrid Veh.
International Journal of Electrical Engineering	Int. J. Electr. Eng.
International Journal of Electrical Engineering & Education	Int. J. Electr. Eng. Educ.
International Journal of Electrical Engineering Education	Int. J. Electr. Eng. Educ.
International Journal of Electrical Power & Energy Systems	Int. J. Electr. Power Energy Syst.
"International Journal of Electrical, Computer, and Systems Engineering"	Int. J. Electr. Comput. Syst. Eng.
International Journal of Electrochemical Science	Int. J. Electrochem. Sci.
International Journal of Electrochemistry	Int. J. Electrochem.
International Journal of Electronic Security and Digital Forensics	Int. J. Electron. Secur. Digit. Forensics
International Journal of Electronics	Int. J. Electron.
International Journal of Electronics Letters	Int. J. Electron. Lett.
International Journal of Embedded Systems	Int. J. Embedded Syst.
International Journal of Emergency Management	Int. J. Emergency Manage.
International Journal of Emerging Electric Power Systems	Int. J. Emerging Electr. Power Syst.
International Journal of e-Navigation and Maritime Economy	Int. J. e-Navig. Marit. Econ.
International Journal of Endocrinology	Int. J. Endocrinol.
International Journal of Endocrinology and Metabolism	Int. J. Endocrinol. Metab.
International Journal of Energetic Materials and Chemical Propulsion	Int. J. Energetic Mater. Chem. Propul.
International Journal of Energy and Environment	Int. J. Energy Environ.
International Journal of Energy for a Clean Environment	Int. J. Energy Clean Environ.
International Journal of Energy Production and Management	Int. J. Energy Prod. Manage.
International Journal of Energy Research	Int. J. Energy Res.
International Journal of Energy Sector Management	Int. J. Energy Sect. Manage.
International Journal of Engine Research	Int. J. Engine Res.
International Journal of Engineering	Int. J. Eng.
International Journal of Engineering Business Management	Int. J. Eng. Bus. Manage.
International Journal of Engineering Education	Int. J. Eng. Educ.
International Journal of Engineering Mathematics	Int. J. Eng. Math.
International Journal of Engineering Research in Africa	Int. J. Eng. Res. Afr.
International Journal of Engineering Science	Int. J. Eng. Sci.
"International Journal of Engineering, Transactions A: Basics"	Int. J. Eng. Trans. A
"International Journal of Engineering, Transactions B: Applications"	Int. J. Eng. Trans. B
International Journal of Enterprise Information Systems	Int. J. Enterp. Inf. Syst.
International Journal of Environment and Pollution	Int. J. Environ. Pollut.
International Journal of Environment and Waste Management	Int. J. Environ. Waste Manage.
International Journal of Environmental Analytical Chemistry	Int. J. Environ. Anal. Chem.
International Journal of Environmental and Analytical Chemistry	Int. J. Environ. Anal. Chem.
International Journal of Environmental Health Research	Int. J. Environ. Health Res.
International Journal of Environmental Impacts	Int. J. Environ. Impacts
International Journal of Environmental Research and Public Health	Int. J. Environ. Res. Public Health
International Journal of Environmental Science and Technology	Int. J. Environ. Sci. Technol.
International Journal of Environmental Studies	Int. J. Environ. Stud.
International Journal of Environmental Technology and Management	Int. J. Environ. Technol. Manage.
International Journal of Epidemiology	Int. J. Epidemiol.
International Journal of Essential Oil Therapeutics	Int. J. Essent. Oil Ther.
International Journal of Exergy	Int. J. Exergy
International Journal of Experimental Pathology	Int. J. Exp. Path.
International Journal of Extreme Manufacturing	Int. J. Extreme Manuf.
International Journal of Fatigue	Int. J. Fatigue
International Journal of Flexible Manufacturing Systems	Int. J. Flexible Manuf. Syst.
International Journal of Fluid Dynamics	Int. J. Comput. Fluid Dyn.
International Journal of Fluid Mechanics Research	Int. J. Fluid Mech. Res.
International Journal of Fluid Power	Int. J. Fluid Power
International Journal of Food Contamination	Int. J. Food Contam.
International Journal of Food Engineering	Int. J. Food Eng.
International Journal of Food Microbiology	Int. J. Food Microbiol.
International Journal of Food Properties	Int. J. Food Prop.
International Journal of Food Science	Int. J. Food Sci.
International Journal of Food Science and Nutrition	Int. J. Food Sci. Nutr.
International Journal of Food Science and Technology	Int. J. Food Sci. Technol.
International Journal of Food Studies	Int. J. Food Stud.
International Journal of Forecasting	Int. J. Forecasting
International Journal of Forest Engineering	Int. J. For. Eng.
International Journal of Forestry Engineering	Int. J. For. Eng.
International Journal of Forestry Research	Int. J. For. Res.
International Journal of Forming Processes	Int. J. Form. Processes
International Journal of Fracture	Int. J. Fract.
International Journal of Fracture Mechanics	Int. J. Fract.Mech.
International Journal of Fruit Science	Int. J. Fruit Sci.
International Journal of Fuzzy Systems	Int. J. Fuzzy Syst.
International Journal of Game Theory	Int. J. Game Theory
International Journal of Gastronomy and Food Science	Int. J. Gastron. Food Sci.
International Journal of General Systems	Int. J. Gen. Syst.
International Journal of Genomics	Int. J. Genomics
International Journal of Geo-Engineering	Int. J. Geo-Eng.
International Journal of Geographical Information Science	Int. J. Geog. Inf. Sci.
International Journal of Geoheritage and Parks	Int. J. Geoheritage Parks
International Journal of Geomagnetism and Aeronomy	Int. J. Geomag. Aeron.
International Journal of Geomechanics	Int. J. Geomech.
International Journal of Geometric Methods in Modern Physics	Int. J. Geom. Methods Mod. Phys.
International Journal of Geophysics	Int. J. Geophys.
International Journal of Geotechnical Engineering	Int. J. Geotech. Eng.
International Journal of Global Energy Issues	Int. J. Global Energy Issues
International Journal of Green Energy	Int. J. Green Energy
International Journal of Green Nanotechnology	Int. J. Green Nanotechnol.
International Journal of Green Nanotechnology: Biomedicine	Int. J. Green Nanotechnol. Biomed.
International Journal of Green Nanotechnology: Materials Science and Engineering	Int. J. Green Nanotechnol. Mater. Sci. Eng.
International Journal of Green Nanotechnology: Physics and Chemistry	Int. J. Green Nanotechnol. Phys. Chem.
International Journal of Greenhouse Gas Control	Int. J. Greenhouse Gas Control
International Journal of Grid and Utility Computing	Int. J. Grid Util. Comput.
International Journal of Health Geographics	Int. J. Health Geographics
International Journal of Heat and Fluid Flow	Int. J. Heat Fluid Flow
International Journal of Heat and Mass Transfer	Int. J. Heat Mass Transfer
International Journal of Heat and Technology	Int. J. Heat Technol.
International Journal of Heat Exchangers	Int. J. Heat Exch.
International Journal of Heavy Vehicle Systems	Int. J. Heavy Veh. Syst.
International Journal of High Performance Computing and Networking	Int. J. High Perform. Comput. Networking
International Journal of High Performance Computing Applications	Int. J. High Perform. Comput. Appl.
International Journal of High Performance Systems Architecture	Int. J. High Perform. Syst. Archit.
International Journal of High Speed Electronics and Systems	Int. J. High Speed Electron. Syst.
International Journal of High Technology Ceramics	Int. J. Hig Technol. Ceram.
International Journal of Human Genetics	Int. J. Hum. Genet.
International Journal of Human-Computer Studies	Int. J. Hum. Comput. Stud.
International Journal of Humanoid Robotics	Int. J. Humanoid Rob.
International Journal of Hybrid Intelligent Systems	Int. J. Hybrid Intell. Syst.
International Journal of Hybrid Microelectronics	Int. J. Hybrid Microelectron.
International Journal of Hydrocarbon Engineering	Int. J. Hydrocarbon Eng.
International Journal of Hydrogen Energy	Int. J. Hydrogen Energy
International Journal of Hygiene and Environmental Health	Int. J. Hyg. Environ. Health
International Journal of Image and Data Fusion	Int. J. Image Data Fusion
International Journal of Imaging Systems and Technology	Int. J. Imaging Syst. Technol.
International Journal of Immunogenetics	Int. J. Immunogenet.
International Journal of Immunopathology and Pharmacology	Int. J. Immunopathol. Pharmacol.
International Journal of Immunopharmacology	Int. J. Immunopharmacol
International Journal of Impact Engineering	Int. J. Impact Eng.
International Journal of Industrial and Systems Engineering	Int. J. Ind. Syst. Eng.
International Journal of Industrial Chemistry	Int. J. Ind. Chem.
International Journal of Industrial Engineering: Theory Applications and Practice	Int. J. Ind. Eng.Theory Appl. Pract.
International Journal of Industrial Ergonomics	Int. J. Ind. Ergon.
International Journal of Industrial Organization	Int. J. Ind. Organ.
International Journal of Information and Communication Technology	Int. J. Inf. Commun. Technol.
International Journal of Information and Computer Security	Int. J. Inf. Comput. Secur.
International Journal of Information and Management Sciences	Int. J. Inf. Manage. Sci.
International Journal of Information Management	Int. J. Inf. Manage.
International Journal of Information Quality	Int. J. Inf. Qual.
International Journal of Information Security	Int. J. Inf. Secur.
International Journal of Information Systems and Change Management	Int. J. Inf. Syst. Change Mange.
International Journal of Information Technology and Management	Int. J. Inf. Technol. Manage.
International Journal of Information Technology and Web Engineering	Int. J. Inf. Technol. Web. Eng.
International Journal of Infrared and Millimeter Waves	Int. J. Infrared Millimeter Waves
International Journal of Injury Control and Safety Promotion	Int. J. Inj. Control Saf. Promot.
International Journal of Innovation Studies	Int. J. Innovation Stud.
International Journal of Innovative Computing and Applications	Int. J. Innovative Comput. Appl.
International Journal of Inorganic Materials	Int. J. Inorg. Mater.
International Journal of Insect Morphology and Embryology	Int. J. Insect Morphol. Embryol.
International Journal of Insect Science	Int. J. Insect Sci.
International Journal of Intelligent Information and Database Systems	Int. J. Intell. Inf. Database Syst.
International Journal of Intelligent Information Technologies	Int. J. Intell. Inf. Technol.
International Journal of Intelligent Networks	Int. J. Intell. Networks
International Journal of Intelligent Systems	Int. J. Intell. Syst.
International Journal of Intelligent Transportation Systems Research	Int. J. Intell. Transp. Syst. Res.
International Journal of Interactive Multimedia and Artificial Intelligence	Int. J. Interact. Multimedia Artif. Intell.
International Journal of Internet Manufacturing and Services	Int. J. Internet Manuf. Serv.
International Journal of Internet Protocol Technology	Int. J. Internet Protoc. Technol.
International Journal of Ion Mobility Spectrometry	Int. J. Ion Mobility Spectrom.
International Journal of Knowledge-Based and Intelligent Engineering Systems	Int. J. Knowledge-Based Intell. Eng. Syst.
International Journal of Laboratory Hematology	Int. J. Labor. Hematol.
International Journal of Law and Psychiatry	Int. J. Law Psychiatry
"International Journal of Law, Crime and Justice"	Int. J. Law Crime Justice
International Journal of Legal Medicine	Int. J. Legal Med.
International Journal of Life Cycle Assessment	Int. J. Life Cycle Assess.
International Journal of Lightweight Materials and Manufacture	Int. J. Lightweight Mater. Manuf.
International Journal of Limnology	Int. J. Limnol.
International Journal of Low-Carbon Technologies	Int. J. Low-Carbon Technol.
International Journal of Machine Learning and Cybernetics	Int. J. Mach. Learn. Cybern.
International Journal of Machine Tool Design and Research	Int. J. Mach. Tool Des. Res.
International Journal of Machine Tools and Manufacture	Int. J. Mach. Tools Manuf.
International Journal of Machining and Machinability of Materials	Int. J. Mach. Mach. Mater.
International Journal of Malacology	Int. J. Malacol.
International Journal of Management Science and Engineering Management	Int. J. Manage. Sci. Eng. Manage.
International Journal of Man-Machine Studies	Int. J. Man Mach. Stud.
International Journal of Manufacturing Research	Int. J. Manuf. Res.
International Journal of Manufacturing Technology and Management	Int. J. Manuf. Technol. Manage.
International Journal of Marine Energy	Int. J. Mar. Energy
International Journal of Marine Science	Int. J. Mar. Sci.
International Journal of Maritime Engineering	Int. J. Marit. Eng.
International Journal of Mass Spectrometry	Int. J. Mass Spectrom.
International Journal of Mass Spectrometry and Ion Physics	Int. J. Mass Spectrom. Ion Phys.
International Journal of Mass Spectrometry and Ion Processes	Int. J. Mass Spectrom. Ion Processes
International Journal of Material Forming	Int. J. Mater. Form.
International Journal of Materials and Product Technology	Int. J. Mater. Prod. Technol.
International Journal of Materials and Structural Integrity	Int. J. Mater. Struct. Integrity
International Journal of Materials in Engineering Applications	Int. J. Mater. Eng. Appl.
International Journal of Materials Research	Int. J. Mater. Res.
International Journal of Mathematical Education in Science and Technology	Int. J. Math. Educ. Sci. Technol.
International Journal of Mathematics and Mathematical Sciences	Int. J. Math. Math. Sci.
International Journal of Mechanical Engineering Education	Int. J. Mech. Eng. Educ.
International Journal of Mechanical Sciences	Int. J. Mech. Sci.
International Journal of Mechanical Systems Dynamics	Int. J. Mech. Syst. Dyn.
International Journal of Mechanical Systems Science and Engineering	Int. J. Mech. Syst. Sci. Eng.
International Journal of Mechanics and Materials in Design	Int. J. Mech. Mater. Des.
International Journal of Medical Engineering and Informatics	Int. J. Med. Eng. Inf.
International Journal of Medical Informatics	Int. J. Med. Inf.
International Journal of Medical Microbiology	Int. J. Med. Microbiol.
International Journal of Medical Robotics and Computer Assisted Surgery	Int. J. Med. Rob. Comput. Assisted Surg.
International Journal of Medicinal Chemistry	Int. J. Med. Chem.
International Journal of Medicinal Mushrooms	Int. J. Med. Mushrooms
"International Journal of Metadata, Semantics and Ontologies"	Int. J. Metadata Semant. Ontol.
International Journal of Metalcasting	Int. J. Metalcast.
International Journal of Metrology and Quality Engineering	Int. J. Metrol. Qual. Eng.
International Journal of Micro Air Vehicles	Int. J. Micro Air Veh.
International Journal of Microbiology	Int. J. Microbiol.
International Journal of Microcircuits and Electronic Packaging	Int. J. Microcircuits Electron Packag.
International Journal of Microstructure and Materials Properties	Int. J. Microstruct. Mater. Prop.
International Journal of Microwave and Wireless Technologies	Int. J. Microwave Wireless Technolog.
International Journal of Mine Water	Int. J. Mine Water
International Journal of Mineral Processing	Int. J. Miner. Process.
"International Journal of Minerals, Metallurgy, and Materials"	Int. J. Miner. Metall. Mater.
International Journal of Mining and Mineral Processing Engineering	Int. J. Min. Miner. Eng.
International Journal of Mining Science and Technology	Int. J. Min. Sci. Technol.
"International Journal of Mining, Reclamation and Environment"	Int. J. Min. Reclam. Environ.
International Journal of Mobile Communications	Int. J. Mobile Commun.
International Journal of Mobile Network Design and Innovation	Int. J. Mobile Network Des. Innov.
International Journal of Modelling and Simulation	Int. J. Model. Simul.
"International Journal of Modelling, Identification and Control"	Int. J. Model. Identif. Control
International Journal of Modern Physics A: Particles and Fields; Gravitation; Cosmology; Nuclear Physics	Int. J. Mod. Phys. A
"International Journal of Modern Physics B: Condensed Matter Physics, Statistical Physics, Applied Physics"	Int. J. Mod. Phys. B
International Journal of Modern Physics C: Computational Physics and Physical Computation	Int. J. Mod. Phys. C
International Journal of Modern Physics D: Gravitation; Astrophysics and Cosmology	Int. J. Mod. Phys. D
International Journal of Modern Physics E: Nuclear Physics	Int. J. Mod. Phys. E
International Journal of Molecular Medicine	Int. J. Mol. Med.
International Journal of Molecular Medicine and Advance Sciences	Int. J. Med. Mol. Adv. Sci
International Journal of Molecular Sciences	Int. J. Mol. Sci.
International Journal of Morphology	Int. J. Morphol.
International Journal of Multiphase Flow	Int. J. Multiphase Flow
International Journal of Multiphysics	Int. J. Multiphys.
International Journal of Mycobacteriology	Int. J. Mycobacteriol.
International Journal of Nano and Biomaterials	Int. J. Nano Biomater.
International Journal of Nanomanufacturing	Int. J. Nanomanuf.
International Journal of Nanomedicine	Int. J. Nanomed.
International Journal of Nanoscience	Int. J. Nanosci.
International Journal of Nanotechnology	Int. J. Nanotechnol.
International Journal of Natural and Engineering Sciences	Int. J. Nat. Eng. Sci.
International Journal of Nautical Archaeology	Int. J. Naut. Archaeol.
International Journal of Naval Architecture and Ocean Engineering	Int. J. Nav. Archit. Ocean Eng.
International Journal of Network Management	Int. J. Network Manage.
International Journal of Networking and Virtual Organisations	Int. J. Networking Virtual Organ.
International Journal of Neural Systems	Int. J. Neural Syst.
International Journal of Neuropharmacology	Int. J. Neuropharmacol.
International Journal of Neuropsychopharmacology	Int. J. Neuropsychopharmacol.
International Journal of Neuroscience	Int. J. Neurosci.
International Journal of Nondestructive Testing	Int. J. Nondestr. Test.
International Journal of Non-Equilibrium Processing	Int. J. Non Equilibr. Process
International Journal of Non-Linear Mechanics	Int. J. Non Linear Mech.
International Journal of Nonlinear Modelling in Science and Engineering	Int. J. Nonlinear Modell. Sci. Eng.
International Journal of Nonlinear Sciences and Numerical Simulation	Int. J. Nonlinear Sci. Numer. Simul.
International Journal of Nuclear Desalination	Int. J. Nucl. Desalin.
International Journal of Nuclear Energy Science and Technology	Int. J. Nucl. Energy Sci. Technol.
International Journal of Nuclear Medicine and Biology	Int. J. Nucl. Med. Biol.
International Journal of Numerical Analysis and Modeling	Int. J. Numer. Anal. Model.
International Journal of Numerical Methods for Heat and Fluid Flow	Int. J. Numer. Methods Heat Fluid Flow
International Journal of Numerical Methods in Biomedical Engineering	Int. J. Numer. Methods Biomed. Eng.
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields"	Int. J. Numer. Modell. Electron. Networks Devices Fields
International Journal of Nursing Knowledge	Int. J. Nurs. Knowl.
International Journal of Occupational and Environmental Health	Int. J. Occup. Environ. Health
International Journal of Occupational Safety and Ergonomics	Int. J. Occup. Saf. Ergon.
International Journal of Oceanology and Limnology	Int. J. Oceanol. Limnol.
International Journal of Offshore and Polar Engineering	Int. J. Offshore Polar Eng.
International Journal of Oncology	Int. J. Oncol.
International Journal of Optics	Int. J. Opt.
International Journal of Optomechatronics	Int. J. Optomechatronics
International Journal of Oral Science	Int. J. Oral Sci.
International Journal of Osteoarchaeology	Int. J. Osteoarchaeol.
International Journal of Paleopathology	Int. J. Paleopathol.
International Journal of Parallel Programming	Int. J. Parallel Program.
"International Journal of Parallel, Emergent and Distributed Systems"	Int. J. Parallel Emergent Distrib. Syst.
International Journal of Parasitology: Drugs and Drug Resistance	Int. J. Parasitol.: Drugs Drug Resist.
International Journal of Parasitology: Parasites and Wildlife	Int. J. Parasitol.: Parasites Wildl.
International Journal of Pattern Recognition and Artificial Intelligence	Int. J. Pattern Recognit Artif Intell.
International Journal of Pavement Engineering	Int. J. Pavement Eng.
International Journal of Pavement Research and Technology	Int. J. Pavement Res. Technol.
International Journal of Peptide and Protein Research	Int. J. Pept. Protein Res.
International Journal of Peptide Research and Therapeutics	Int. J. Pept. Res. Ther.
International Journal of Peptides	Int. J. Pept.
International Journal of Performance Analysis in Sport	Int. J. Perform. Anal. Sport
International Journal of Pest Management	Int. J. Pest Manage.
International Journal of Pharmaceutical Compounding	Int. J. Pharm. Compd.
International Journal of Pharmaceutical Sciences and Research	Int. J. Pharm. Sci. Res.
International Journal of Pharmaceutical Technology and Product Manufacture	Int. J. Pharm. Technol. Prod. Manuf.
International Journal of Pharmaceutics	Int. J. Pharm.
International Journal of Pharmaceutics: X	Int. J. Pharm.: X
International Journal of Pharmacokinetics	Int. J. Pharmacokinet.
International Journal of Pharmacy and Pharmaceutical Sciences	Int. J. Pharm. Pharm. Sci.
International Journal of Pharmacy Practice	Int. J. Pharm. Pract.
International Journal of Photoenergy	Int. J. Photoenergy
International Journal of Phycology and Phycochemistry	Int. J. Phycol. Phycochem.
International Journal of Physiology and Pathophysiology	Int. J. Physiol. Pathophysiol.
International Journal of Phytoremediation	Int. J. Phytorem.
International Journal of PIXE	Int. J. PIXE
International Journal of Plant Genomics	Int. J. Plant Genomics
International Journal of Plant Production	Int. J. Plant Prod.
International Journal of Plasma Science and Engineering	Int. J. Plasma Sci. Eng.
International Journal of Plasticity	Int. J. Plast.
International Journal of Plastics Technology	Int. J. Plast. Technol.
International Journal of Polymer Analysis and Characterization	Int. J. Polym. Anal. Charact.
International Journal of Polymeric Materials	Int. J. Polym. Mater.
International Journal of Polymeric Materials and Polymeric Biomaterials	Int. J. Polym. Mater. Polym. Biomater.
International Journal of Polymeric Science	Int. J. Polym. Sci.
International Journal of Powder Metallurgy	Int. J. Powder Metall
International Journal of Power and Energy Systems	Int. J. Power Energy Syst
International Journal of Precision Engineering	Int. J. Precis. Eng.
International Journal of Precision Engineering and Manufacturing	Int. J. Precis. Eng. Manuf.
International Journal of Pressure Vessels and Piping	Int. J. Press. Vessels Pip.
International Journal of Primatology	Int. J. Primatol.
International Journal of Production Economics	Int. J. Prod. Econ.
International Journal of Production Research	Int. J. Prod. Res.
International Journal of Project Management	Int. J. Project Manage.
International Journal of Protective Structures	Int. J. Prot. Struct.
International Journal of Protein Research	Int. J. Protein Res.
International Journal of Public Health	Int. J. Public Health
